地点,,,,,,,,,,,,,
新天地,田子坊,上海迪士尼,上海海洋水族馆,上海影视乐园,,,,,,,,,
上海迪士尼,上海海洋水族馆,外滩,上海城隍庙,,,,,,,,,,
上海野生动物园,上海科技馆,,,,,,,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
田子坊,外滩,上海城隍庙,上海博物馆,外滩,,,,,,,,,
田子坊,1933老场坊,上海科技馆,陆家嘴,外滩,上海城隍庙,豫园,南京路步行街,,,,,,
上海自然博物馆,南京路步行街,外滩,上海迪士尼,,,,,,,,,,
上海科技馆,中华艺术宫,外滩,上海城隍庙,,,,,,,,,,
上海城隍庙,田子坊,,,,,,,,,,,,
南京路步行街,上海影视乐园,外滩,上海迪士尼,田子坊,,,,,,,,,
中华艺术宫,上海迪士尼,,,,,,,,,,,,
上海博物馆,田子坊,,,,,,,,,,,,
上海迪士尼,上海城隍庙,南京路步行街,田子坊,南京路步行街,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
上海城隍庙,豫园,上海城隍庙,,,,,,,,,,,
南京路步行街,外滩,1933老场坊,豫园,田子坊,,,,,,,,,
田子坊,陆家嘴,外滩,1933老场坊,上海迪士尼,,,,,,,,,
豫园,上海城隍庙,外滩,上海迪士尼,上海影视乐园,,,,,,,,,
田子坊,上海迪士尼,豫园,上海城隍庙,外滩,,,,,,,,,
上海博物馆,外滩,上海城隍庙,豫园,1933老场坊,上海迪士尼,南京路步行街,,,,,,,
豫园,外滩,南京路步行街,田子坊,,,,,,,,,,
1933老场坊,上海城隍庙,,,,,,,,,,,,
外滩,1933老场坊,,,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
南京路步行街,外滩,陆家嘴,豫园,上海博物馆,上海科技馆,上海海洋水族馆,上海汽车博物馆,1933老场坊,上海电影博物馆,上海迪士尼,,,
外滩,新天地,,,,,,,,,,,,
上海迪士尼,上海城隍庙,,,,,,,,,,,,
外滩,上海博物馆,豫园,上海城隍庙,外滩,南京路步行街,,,,,,,,
田子坊,外滩,上海迪士尼,,,,,,,,,,,
外滩,上海海洋水族馆,外滩,上海迪士尼,,,,,,,,,,
上海博物馆,外滩,上海科技馆,,,,,,,,,,,
外滩,上海博物馆,上海城隍庙,田子坊,,,,,,,,,,
田子坊,陆家嘴,上海迪士尼,南京路步行街,外滩,,,,,,,,,
上海科技馆,上海博物馆,外滩,上海城隍庙,上海博物馆,,,,,,,,,
豫园,外滩,,,,,,,,,,,,
上海博物馆,外滩,,,,,,,,,,,,
田子坊,外滩,上海城隍庙,,,,,,,,,,,
南京路步行街,上海科技馆,上海迪士尼,田子坊,,,,,,,,,,
上海欢乐谷,上海欢乐谷,,,,,,,,,,,,
上海迪士尼,豫园,,,,,,,,,,,,
上海迪士尼,上海城隍庙,豫园,南京路步行街,外滩,田子坊,,,,,,,,
外滩,豫园,,,,,,,,,,,,
上海迪士尼,上海海洋水族馆,上海科技馆,南京路步行街,外滩,,,,,,,,,
田子坊,1933老场坊,上海城隍庙,外滩,南京路步行街,,,,,,,,,
中华艺术宫,南京路步行街,外滩,南京路步行街,田子坊,豫园,,,,,,,,
上海迪士尼,南京路步行街,,,,,,,,,,,,
上海城隍庙,豫园,外滩,上海迪士尼,田子坊,,,,,,,,,
上海迪士尼,田子坊,南京路步行街,外滩,上海城隍庙,,,,,,,,,
上海科技馆,田子坊,外滩,中华艺术宫,上海植物园,,,,,,,,,
田子坊,南京路步行街,外滩,,,,,,,,,,,
1933老场坊,田子坊,豫园,外滩,,,,,,,,,,
上海迪士尼,1933老场坊,上海动物园,,,,,,,,,,,
豫园,田子坊,上海城隍庙,上海城隍庙,上海城隍庙,,,,,,,,,
上海城隍庙,外滩,豫园,,,,,,,,,,,
上海迪士尼,田子坊,中华艺术宫,外滩,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
外滩,上海城隍庙,田子坊,,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,,,,,,,,,,,
1933老场坊,田子坊,上海城隍庙,豫园,上海博物馆,外滩,外滩,南京路步行街,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
田子坊,外滩,1933老场坊,上海城隍庙,,,,,,,,,,
外滩,中华艺术宫,田子坊,,,,,,,,,,,
上海城隍庙,豫园,外滩,上海迪士尼,上海野生动物园,,,,,,,,,
陆家嘴,陆家嘴,陆家嘴,,,,,,,,,,,
1933老场坊,上海城隍庙,田子坊,陆家嘴,外滩,南京路步行街,上海迪士尼,,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
外滩,田子坊,上海城隍庙,外滩,上海迪士尼,1933老场坊,,,,,,,,
南京路步行街,外滩,上海迪士尼,上海城隍庙,,,,,,,,,,
中华艺术宫,外滩,外滩,,,,,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
上海城隍庙,上海迪士尼,,,,,,,,,,,,
豫园,上海城隍庙,外滩,田子坊,上海迪士尼,,,,,,,,,
南京路步行街,外滩,上海城隍庙,豫园,田子坊,上海迪士尼,南京路步行街,,,,,,,
外滩,豫园,上海城隍庙,田子坊,,,,,,,,,,
上海影视乐园,上海影视乐园,,,,,,,,,,,,
陆家嘴,外滩,田子坊,外滩,上海城隍庙,豫园,外滩,南京路步行街,田子坊,1933老场坊,田子坊,,,
豫园,外滩,上海迪士尼,,,,,,,,,,,
陆家嘴,1933老场坊,外滩,,,,,,,,,,,
田子坊,外滩,田子坊,1933老场坊,南京路步行街,豫园,田子坊,,,,,,,
外滩,南京路步行街,上海迪士尼,南京路步行街,外滩,外滩,中华艺术宫,中华艺术宫,南京路步行街,豫园,,,,
田子坊,陆家嘴,,,,,,,,,,,,
南京路步行街,上海迪士尼,,,,,,,,,,,,
田子坊,外滩,南京路步行街,1933老场坊,,,,,,,,,,
田子坊,上海科技馆,上海迪士尼,上海城隍庙,,,,,,,,,,
外滩,上海博物馆,田子坊,上海海洋水族馆,1933老场坊,豫园,上海城隍庙,上海迪士尼,,,,,,
上海城隍庙,豫园,田子坊,南京路步行街,外滩,上海迪士尼,,,,,,,,
上海科技馆,上海野生动物园,外滩,,,,,,,,,,,
田子坊,上海博物馆,豫园,,,,,,,,,,,
田子坊,1933老场坊,上海城隍庙,南京路步行街,外滩,,,,,,,,,
外滩,外滩,南京路步行街,陆家嘴,上海城市规划展示馆,陆家嘴,上海城市规划展示馆,中华艺术宫,田子坊,田子坊,田子坊,豫园,上海城隍庙,外滩
上海博物馆,外滩,,,,,,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
上海电影博物馆,田子坊,外滩,豫园,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,上海迪士尼,,,,,,,,,
南京路步行街,南京路步行街,外滩,,,,,,,,,,,
豫园,上海城隍庙,上海迪士尼,田子坊,,,,,,,,,,
田子坊,上海城隍庙,,,,,,,,,,,,
上海城隍庙,上海野生动物园,,,,,,,,,,,,
上海迪士尼,外滩,,,,,,,,,,,,
南京路步行街,外滩,上海欢乐谷,南京路步行街,外滩,陆家嘴,陆家嘴,陆家嘴,,,,,,
豫园,外滩,陆家嘴,田子坊,,,,,,,,,,
外滩,田子坊,,,,,,,,,,,,
上海城隍庙,外滩,田子坊,,,,,,,,,,,
南京路步行街,上海城隍庙,,,,,,,,,,,,
田子坊,外滩,外滩,,,,,,,,,,,
田子坊,南京路步行街,外滩,1933老场坊,上海城隍庙,,,,,,,,,
陆家嘴,南京路步行街,外滩,田子坊,外滩,1933老场坊,上海迪士尼,,,,,,,
外滩,上海海洋水族馆,,,,,,,,,,,,
陆家嘴,上海博物馆,中华艺术宫,,,,,,,,,,,
豫园,田子坊,1933老场坊,,,,,,,,,,,
外滩,上海迪士尼,上海迪士尼,上海迪士尼,,,,,,,,,,
外滩,南京路步行街,外滩,1933老场坊,田子坊,,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,田子坊,陆家嘴,1933老场坊,,,,,,,
中华艺术宫,中华艺术宫,南京路步行街,外滩,,,,,,,,,,
上海电影博物馆,上海迪士尼,上海迪士尼,上海迪士尼,,,,,,,,,,
外滩,上海博物馆,1933老场坊,上海迪士尼,,,,,,,,,,
上海博物馆,豫园,田子坊,南京路步行街,外滩,上海迪士尼,,,,,,,,
上海迪士尼,上海野生动物园,外滩,上海迪士尼,,,,,,,,,,
上海城隍庙,豫园,,,,,,,,,,,,
上海影视乐园,上海迪士尼,,,,,,,,,,,,
上海迪士尼,外滩,,,,,,,,,,,,
上海城隍庙,田子坊,上海迪士尼,南京路步行街,外滩,,,,,,,,,
田子坊,外滩,,,,,,,,,,,,
上海博物馆,田子坊,外滩,南京路步行街,上海城隍庙,豫园,田子坊,,,,,,,
上海迪士尼,外滩,豫园,外滩,上海迪士尼,上海城隍庙,,,,,,,,
外滩,豫园,上海科技馆,田子坊,上海博物馆,1933老场坊,豫园,,,,,,,
南京路步行街,外滩,外滩,上海城隍庙,豫园,豫园,上海城隍庙,中华艺术宫,上海影视乐园,上海影视乐园,,,,
陆家嘴,外滩,,,,,,,,,,,,
上海迪士尼,1933老场坊,,,,,,,,,,,,
上海城隍庙,豫园,外滩,田子坊,上海科技馆,外滩,,,,,,,,
南京路步行街,外滩,上海城隍庙,田子坊,外滩,1933老场坊,陆家嘴,,,,,,,
外滩,上海城隍庙,外滩,,,,,,,,,,,
上海城隍庙,外滩,1933老场坊,南京路步行街,田子坊,上海影视乐园,,,,,,,,
南京路步行街,上海城隍庙,外滩,南京路步行街,外滩,南京路步行街,,,,,,,,
上海城隍庙,豫园,上海野生动物园,,,,,,,,,,,
外滩,1933老场坊,南京路步行街,,,,,,,,,,,
南京路步行街,南京路步行街,外滩,陆家嘴,田子坊,上海城隍庙,,,,,,,,
上海城隍庙,豫园,外滩,,,,,,,,,,,
上海迪士尼,外滩,田子坊,上海电影博物馆,外滩,1933老场坊,外滩,,,,,,,
上海欢乐谷,外滩,上海科技馆,,,,,,,,,,,
上海欢乐谷,上海欢乐谷,辰山植物园,,,,,,,,,,,
上海欢乐谷,辰山植物园,上海欢乐谷,辰山植物园,,,,,,,,,,
田子坊,豫园,外滩,,,,,,,,,,,
豫园,外滩,上海迪士尼,上海城隍庙,,,,,,,,,,
外滩,上海迪士尼,豫园,上海城隍庙,南京路步行街,,,,,,,,,
豫园,上海海洋水族馆,上海城隍庙,,,,,,,,,,,
南京路步行街,外滩,田子坊,1933老场坊,中华艺术宫,外滩,,,,,,,,
上海迪士尼,外滩,,,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,豫园,田子坊,1933老场坊,上海博物馆,,,,,,,
上海科技馆,上海城隍庙,上海迪士尼,南京路步行街,外滩,,,,,,,,,
上海博物馆,南京路步行街,上海城隍庙,外滩,田子坊,中华艺术宫,,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
外滩,外滩,南京路步行街,,,,,,,,,,,
上海城隍庙,外滩,外滩,,,,,,,,,,,
外滩,南京路步行街,上海博物馆,豫园,,,,,,,,,,
外滩,南京路步行街,南京路步行街,陆家嘴,,,,,,,,,,
上海植物园,上海鲜花港,,,,,,,,,,,,
上海城隍庙,豫园,外滩,田子坊,上海博物馆,南京路步行街,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,中华艺术宫,田子坊,,,,,,,,
上海城隍庙,外滩,南京路步行街,外滩,南京路步行街,1933老场坊,田子坊,南京路步行街,,,,,,
上海城隍庙,上海城隍庙,豫园,上海城隍庙,外滩,陆家嘴,南京路步行街,,,,,,,
上海鲜花港,上海鲜花港,上海鲜花港,上海鲜花港,上海鲜花港,,,,,,,,,
上海博物馆,外滩,豫园,上海城隍庙,田子坊,1933老场坊,,,,,,,,
上海博物馆,南京路步行街,外滩,陆家嘴,豫园,上海城隍庙,田子坊,1933老场坊,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
陆家嘴,外滩,南京路步行街,上海海洋水族馆,1933老场坊,田子坊,再见，上海,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
外滩,豫园,上海城隍庙,田子坊,南京路步行街,南京路步行街,外滩,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
豫园,外滩,田子坊,外滩,中华艺术宫,,,,,,,,,
田子坊,上海城隍庙,豫园,南京路步行街,外滩,,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
上海城隍庙,豫园,外滩,,,,,,,,,,,
田子坊,外滩,,,,,,,,,,,,
外滩,豫园,上海城隍庙,上海博物馆,田子坊,,,,,,,,,
外滩,田子坊,上海博物馆,,,,,,,,,,,
中华艺术宫,外滩,,,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,豫园,田子坊,陆家嘴,,,,,,,,
田子坊,南京路步行街,外滩,,,,,,,,,,,
外滩,南京路步行街,豫园,上海城隍庙,陆家嘴,外滩,田子坊,上海影视乐园,,,,,,
田子坊,豫园,外滩,陆家嘴,,,,,,,,,,
中华艺术宫,田子坊,1933老场坊,,,,,,,,,,,
陆家嘴,南京路步行街,豫园,外滩,中华艺术宫,外滩,南京路步行街,徐家汇藏书楼,宋庆龄故居,巴金寓所,上海图书馆,田子坊,回家啦,
上海博物馆,豫园,外滩,陆家嘴,田子坊,,,,,,,,,
陆家嘴,外滩,,,,,,,,,,,,
田子坊,南京路步行街,外滩,1933老场坊,上海城隍庙,上海博物馆,外滩,,,,,,,
中华艺术宫,陆家嘴,,,,,,,,,,,,
陆家嘴,上海城隍庙,,,,,,,,,,,,
外滩,南京路步行街,上海城隍庙,豫园,田子坊,外滩,,,,,,,,
陆家嘴,南京路步行街,外滩,陆家嘴,田子坊,,,,,,,,,
外滩,南京路步行街,外滩,,,,,,,,,,,
田子坊,外滩,,,,,,,,,,,,
外滩,田子坊,豫园,,,,,,,,,,,
南京路步行街,外滩,外滩,外滩,1933老场坊,田子坊,,,,,,,,
豫园,南京路步行街,外滩,中华艺术宫,外滩,,,,,,,,,
上海城隍庙,南京路步行街,,,,,,,,,,,,
田子坊,1933老场坊,外滩,上海城隍庙,中华艺术宫,上海电影博物馆,,,,,,,,
外滩,外滩,田子坊,,,,,,,,,,,
南京路步行街,外滩,豫园,外滩,陆家嘴,中华艺术宫,,,,,,,,
南京路步行街,上海城隍庙,外滩,田子坊,陆家嘴,,,,,,,,,
南京路步行街,南京路步行街,外滩,中华艺术宫,1933老场坊,豫园,,,,,,,,
田子坊,南京路步行街,中华艺术宫,豫园,,,,,,,,,,
外滩,1933老场坊,上海欢乐谷,,,,,,,,,,,
外滩,陆家嘴,,,,,,,,,,,,
南京路步行街,外滩,上海科技馆,1933老场坊,,,,,,,,,,
上海欢乐谷,1933老场坊,田子坊,,,,,,,,,,,
外滩,外滩,南京路步行街,1933老场坊,田子坊,,,,,,,,,
田子坊,外滩,外滩,,,,,,,,,,,
上海博物馆,南京路步行街,上海城隍庙,,,,,,,,,,,
外滩,南京路步行街,豫园,中华艺术宫,田子坊,,,,,,,,,
外滩,上海城隍庙,1933老场坊,上海影视乐园,,,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,陆家嘴,外滩,田子坊,1933老场坊,豫园,上海城隍庙,,,,,
田子坊,上海博物馆,外滩,南京路步行街,1933老场坊,,,,,,,,,
中华艺术宫,外滩,,,,,,,,,,,,
上海海洋水族馆,南京路步行街,田子坊,上海城隍庙,豫园,外滩,,,,,,,,
南京路步行街,外滩,豫园,田子坊,上海城隍庙,,,,,,,,,
南京路步行街,外滩,豫园,上海城隍庙,南京路步行街,,,,,,,,,
田子坊,外滩,1933老场坊,,,,,,,,,,,
豫园,外滩,田子坊,1933老场坊,,,,,,,,,,
外滩,上海科技馆,,,,,,,,,,,,
外滩,南京路步行街,上海城隍庙,,,,,,,,,,,
豫园,上海城隍庙,田子坊,南京路步行街,外滩,,,,,,,,,
1933老场坊,陆家嘴,外滩,豫园,,,,,,,,,,
上海海洋水族馆,上海海洋水族馆,,,,,,,,,,,,
外滩,外滩,1933老场坊,田子坊,陆家嘴,南京路步行街,豫园,,,,,,,
上海海洋水族馆,南京路步行街,外滩,上海城隍庙,南京路步行街,,,,,,,,,
陆家嘴,外滩,上海电影博物馆,田子坊,,,,,,,,,,
南京路步行街,1933老场坊,陆家嘴,,,,,,,,,,,
上海城隍庙,1933老场坊,,,,,,,,,,,,
陆家嘴,田子坊,外滩,,,,,,,,,,,
上海城隍庙,上海城隍庙,南京路步行街,外滩,,,,,,,,,,
外滩,上海城隍庙,豫园,南京路步行街,,,,,,,,,,
上海城隍庙,田子坊,外滩,,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,田子坊,,,,,,,,,
田子坊,上海城隍庙,豫园,外滩,陆家嘴,外滩,,,,,,,,
南京路步行街,豫园,外滩,田子坊,,,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
外滩,上海城隍庙,豫园,1933老场坊,南京路步行街,田子坊,,,,,,,,
外滩,田子坊,田子坊,南京路步行街,外滩,田子坊,上海欢乐谷,1933老场坊,上海城隍庙,,,,,
上海博物馆,外滩,田子坊,新天地,,,,,,,,,,
田子坊,豫园,外滩,南京路步行街,,,,,,,,,,
豫园,外滩,上海博物馆,南京路步行街,外滩,南京路步行街,1933老场坊,上海科技馆,,,,,,
上海动物园,上海海洋水族馆,田子坊,1933老场坊,上海野生动物园,,,,,,,,,
南京路步行街,上海城隍庙,田子坊,新天地,外滩,陆家嘴,,,,,,,,
1933老场坊,外滩,上海影视乐园,,,,,,,,,,,
外滩,田子坊,上海城隍庙,豫园,外滩,南京路步行街,外滩,,,,,,,
1933老场坊,上海城隍庙,豫园,南京路步行街,田子坊,上海科技馆,新天地,,,,,,,
外滩,上海城隍庙,,,,,,,,,,,,
陆家嘴,田子坊,豫园,1933老场坊,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,豫园,豫园,田子坊,,,,,,,,
外滩,上海海洋水族馆,,,,,,,,,,,,
外滩,田子坊,,,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
田子坊,新天地,南京路步行街,外滩,豫园,,,,,,,,,
外滩,1933老场坊,田子坊,,,,,,,,,,,
豫园,外滩,南京路步行街,1933老场坊,田子坊,上海博物馆,,,,,,,,
田子坊,南京路步行街,,,,,,,,,,,,
上海城隍庙,外滩,上海海洋水族馆,,,,,,,,,,,
南京路步行街,外滩,豫园,田子坊,,,,,,,,,,
外滩,上海城隍庙,豫园,外滩,田子坊,新天地,1933老场坊,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
外滩,上海科技馆,外滩,豫园,,,,,,,,,,
上海博物馆,豫园,外滩,,,,,,,,,,,
豫园,田子坊,外滩,,,,,,,,,,,
田子坊,外滩,,,,,,,,,,,,
南京路步行街,外滩,,,,,,,,,,,,
田子坊,豫园,外滩,,,,,,,,,,,
南京路步行街,外滩,外滩,豫园,田子坊,,,,,,,,,
外滩,田子坊,南京路步行街,外滩,,,,,,,,,,
田子坊,豫园,外滩,,,,,,,,,,,
上海城隍庙,外滩,中华艺术宫,田子坊,,,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
南京路步行街,外滩,新天地,上海城隍庙,田子坊,中华艺术宫,南京路步行街,,,,,,,
田子坊,南京路步行街,上海城隍庙,外滩,,,,,,,,,,
上海城隍庙,豫园,上海科技馆,外滩,南京路步行街,,,,,,,,,
上海海洋水族馆,上海野生动物园,,,,,,,,,,,,
上海植物园,上海植物园,,,,,,,,,,,,
中华艺术宫,田子坊,上海影视乐园,南京路步行街,外滩,外滩,1933老场坊,,,,,,,
外滩,陆家嘴,田子坊,南京路步行街,上海影视乐园,,,,,,,,,
南京路步行街,上海城隍庙,外滩,,,,,,,,,,,
上海科技馆,上海博物馆,,,,,,,,,,,,
田子坊,上海博物馆,外滩,中华艺术宫,,,,,,,,,,
外滩,1933老场坊,田子坊,,,,,,,,,,,
田子坊,1933老场坊,外滩,,,,,,,,,,,
豫园,外滩,南京路步行街,,,,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
上海科技馆,田子坊,南京路步行街,外滩,上海影视乐园,,,,,,,,,
上海博物馆,外滩,南京路步行街,田子坊,上海城隍庙,外滩,陆家嘴,,,,,,,
南京路步行街,外滩,田子坊,上海城隍庙,,,,,,,,,,
新天地,陆家嘴,上海城市规划展示馆,上海城隍庙,田子坊,中华艺术宫,,,,,,,,
外滩,陆家嘴,新天地,外滩,,,,,,,,,,
南京路步行街,外滩,田子坊,豫园,,,,,,,,,,
上海欢乐谷,南京路步行街,外滩,上海城隍庙,豫园,,,,,,,,,
田子坊,上海朱家角古镇,,,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,中华艺术宫,田子坊,,,,,,,,,
南京路步行街,外滩,田子坊,豫园,,,,,,,,,,
田子坊,外滩,外滩,,,,,,,,,,,
新天地,外滩,,,,,,,,,,,,
上海城隍庙,豫园,南京路步行街,外滩,田子坊,,,,,,,,,
上海城隍庙,田子坊,南京路步行街,外滩,,,,,,,,,,
南京路步行街,外滩,陆家嘴,田子坊,,,,,,,,,,
田子坊,南京路步行街,外滩,1933老场坊,,,,,,,,,,
南京路步行街,外滩,豫园,田子坊,,,,,,,,,,
上海城隍庙,外滩,田子坊,,,,,,,,,,,
外滩,南京路步行街,陆家嘴,上海城隍庙,豫园,上海城隍庙,田子坊,,,,,,,
南京路步行街,田子坊,,,,,,,,,,,,
上海城隍庙,田子坊,,,,,,,,,,,,
外滩,上海城隍庙,豫园,南京路步行街,田子坊,,,,,,,,,
豫园,南京路步行街,外滩,田子坊,,,,,,,,,,
陆家嘴,田子坊,,,,,,,,,,,,
上海城隍庙,外滩,,,,,,,,,,,,
外滩,上海科技馆,上海博物馆,,,,,,,,,,,
上海科技馆,陆家嘴,外滩,上海海洋水族馆,上海博物馆,南京路步行街,,,,,,,,
田子坊,南京路步行街,1933老场坊,外滩,外滩,南京路步行街,上海城隍庙,上海影视乐园,,,,,,
豫园,田子坊,外滩,,,,,,,,,,,
南京路步行街,田子坊,,,,,,,,,,,,
田子坊,外滩,南京路步行街,新天地,,,,,,,,,,
豫园,上海城隍庙,田子坊,上海海洋水族馆,南京路步行街,外滩,,,,,,,,
外滩,外滩,田子坊,南京路步行街,,,,,,,,,,
上海城隍庙,豫园,外滩,田子坊,,,,,,,,,,
田子坊,南京路步行街,陆家嘴,外滩,豫园,上海城隍庙,,,,,,,,
上海城隍庙,上海城隍庙,豫园,外滩,田子坊,新天地,南京路步行街,外滩,,,,,,
南京路步行街,外滩,陆家嘴,上海城隍庙,豫园,,,,,,,,,
南京路步行街,外滩,陆家嘴,中华艺术宫,,,,,,,,,,
豫园,东平国家森林公园,,,,,,,,,,,,
田子坊,豫园,外滩,,,,,,,,,,,
上海汽车博物馆,上海科技馆,,,,,,,,,,,,
上海城隍庙,上海城隍庙,南京路步行街,田子坊,,,,,,,,,,
南京路步行街,外滩,上海城隍庙,田子坊,新天地,外滩,1933老场坊,,,,,,,
上海科技馆,田子坊,,,,,,,,,,,,
陆家嘴,外滩,田子坊,南京路步行街,,,,,,,,,,
上海科技馆,外滩,上海野生动物园,外滩,,,,,,,,,,
上海博物馆,南京路步行街,外滩,外滩,,,,,,,,,,
1933老场坊,陆家嘴,陆家嘴,上海城隍庙,陆家嘴,,,,,,,,,
南京路步行街,豫园,上海城隍庙,上海博物馆,上海城市规划展示馆,南京路步行街,外滩,,,,,,,
南京路步行街,外滩,陆家嘴,上海科技馆,,,,,,,,,,
南京路步行街,豫园,,,,,,,,,,,,
豫园,外滩,,,,,,,,,,,,
豫园,上海城隍庙,外滩,上海博物馆,,,,,,,,,,
陆家嘴,南京路步行街,豫园,上海城隍庙,田子坊,南京路步行街,外滩,南京路步行街,外滩,,,,,
上海城隍庙,豫园,外滩,,,,,,,,,,,
上海植物园,上海植物园,上海植物园,上海植物园,上海植物园,,,,,,,,,
外滩,上海城隍庙,豫园,,,,,,,,,,,
上海博物馆,田子坊,上海城隍庙,外滩,上海博物馆,上海科技馆,,,,,,,,
外滩,豫园,上海城隍庙,上海城隍庙,,,,,,,,,,
豫园,上海城隍庙,外滩,,,,,,,,,,,
外滩,田子坊,上海植物园,,,,,,,,,,,
豫园,外滩,1933老场坊,,,,,,,,,,,
上海城隍庙,外滩,田子坊,,,,,,,,,,,
田子坊,1933老场坊,,,,,,,,,,,,
田子坊,外滩,南京路步行街,1933老场坊,上海城隍庙,陆家嘴,外滩,,,,,,,
豫园,上海城隍庙,外滩,田子坊,,,,,,,,,,
外滩,南京路步行街,陆家嘴,外滩,田子坊,,,,,,,,,
上海海洋水族馆,外滩,上海城隍庙,豫园,,,,,,,,,,
南京路步行街,外滩,南京路步行街,外滩,上海博物馆,,,,,,,,,
上海科技馆,南京路步行街,外滩,上海城隍庙,南京路步行街,新天地,田子坊,,,,,,,
豫园,上海城隍庙,南京路步行街,上海博物馆,田子坊,外滩,外滩,,,,,,,
上海博物馆,上海城隍庙,豫园,南京路步行街,外滩,田子坊,,,,,,,,
外滩,田子坊,上海城隍庙,外滩,,,,,,,,,,
外滩,上海城隍庙,1933老场坊,南京路步行街,,,,,,,,,,
外滩,南京路步行街,陆家嘴,,,,,,,,,,,
南京路步行街,中华艺术宫,南京路步行街,,,,,,,,,,,
陆家嘴,外滩,中华艺术宫,上海博物馆,上海城隍庙,南京路步行街,,,,,,,,
豫园,田子坊,,,,,,,,,,,,
上海科技馆,南京路步行街,外滩,南京路步行街,上海欢乐谷,,,,,,,,,
外滩,1933老场坊,田子坊,上海博物馆,上海科技馆,,,,,,,,,
中华艺术宫,外滩,南京路步行街,,,,,,,,,,,
外滩,新天地,田子坊,外滩,,,,,,,,,,
外滩,南京路步行街,田子坊,外滩,上海城隍庙,,,,,,,,,
外滩,南京路步行街,上海城隍庙,,,,,,,,,,,
新天地,田子坊,南京路步行街,外滩,,,,,,,,,,
外滩,上海影视乐园,上海城隍庙,豫园,南京路步行街,田子坊,,,,,,,,
田子坊,中华艺术宫,外滩,,,,,,,,,,,
田子坊,新天地,外滩,,,,,,,,,,,
外滩,田子坊,1933老场坊,上海博物馆,上海城市规划展示馆,中华艺术宫,,,,,,,,
田子坊,上海城隍庙,上海博物馆,上海海洋水族馆,外滩,上海动物园,上海欢乐谷,辰山植物园,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
外滩,新天地,田子坊,,,,,,,,,,,
中华艺术宫,陆家嘴,上海城隍庙,新天地,,,,,,,,,,
上海植物园,上海植物园,,,,,,,,,,,,
上海植物园,辰山植物园,,,,,,,,,,,,
田子坊,陆家嘴,南京路步行街,田子坊,新天地,外滩,,,,,,,,
外滩,上海博物馆,,,,,,,,,,,,
豫园,外滩,新天地,杭州-上海(G7320),虹桥火车站-浦东机场(2号线),上海-大连(9C8977),,,,,,,,
上海博物馆,豫园,上海城隍庙,外滩,上海欢乐谷,田子坊,,,,,,,,
外滩,南京路步行街,,,,,,,,,,,,
1933老场坊,上海城隍庙,田子坊,上海影视乐园,新天地,田子坊,,,,,,,,
外滩,上海城隍庙,外滩,,,,,,,,,,,
南京路步行街,外滩,田子坊,,,,,,,,,,,
